glyph_name,ps_name
.notdef,.notdef
A,A
a,a
a.sups,a.sups
Aacute,Aacute
aacute,aacute
Abreve,Abreve
abreve,abreve
Abreveacute,Abreveacute
abreveacute,abreveacute
Abrevedotbelow,Abrevedotbelow
abrevedotbelow,abrevedotbelow
Abrevegrave,Abrevegrave
abrevegrave,abrevegrave
Abrevehoi,Abrevehoi
abrevehoi,abrevehoi
Abrevetilde,Abrevetilde
abrevetilde,abrevetilde
Acaron,Acaron
acaron,acaron
Acircumflex,Acircumflex
acircumflex,acircumflex
Acircumflexacute,Acircumflexacute
acircumflexacute,acircumflexacute
Acircumflexdotbelow,Acircumflexdotbelow
acircumflexdotbelow,acircumflexdotbelow
Acircumflexgrave,Acircumflexgrave
acircumflexgrave,acircumflexgrave
Acircumflexhoi,Acircumflexhoi
acircumflexhoi,acircumflexhoi
Acircumflextilde,Acircumflextilde
acircumflextilde,acircumflextilde
acute,acute
acutecmb,acutecmb
acutecmb.cap,acutecmb.cap
acutemod,acutemod
Adieresis,Adieresis
adieresis,adieresis
Adotbelow,Adotbelow
adotbelow,adotbelow
AE,AE
ae,ae
Agrave,Agrave
agrave,agrave
Ahoi,Ahoi
ahoi,ahoi
alphalatin,alphalatin
Amacron,Amacron
amacron,amacron
ampersand,ampersand
Aogonek,Aogonek
aogonek,aogonek
approxequal,approxequal
Aring,Aring
aring,aring
arrowdown,arrowdown
arrowdownleft,arrowdownleft
arrowdownright,arrowdownright
arrowleft,arrowleft
arrowright,arrowright
arrowup,arrowup
arrowupleft,arrowupleft
arrowupright,arrowupright
asciicircum,asciicircum
asciitilde,asciitilde
asterisk,asterisk
at,at
Atilde,Atilde
atilde,atilde
B,B
b,b
b.sups,b.sups
backslash,backslash
bar,bar
bitcoin,bitcoin
braceleft,braceleft
braceright,braceright
bracketleft,bracketleft
bracketleft.subs,bracketleft.subs
bracketleft.sups,bracketleft.sups
bracketright,bracketright
bracketright.subs,bracketright.subs
bracketright.sups,bracketright.sups
breve,breve
breveacute,breveacute
breveacute.cap,breveacute.cap
brevebelowcmb,brevebelowcmb
brevecmb,brevecmb
brevecmb.cap,brevecmb.cap
brevegrave,brevegrave
brevegrave.cap,brevegrave.cap
brevehoi,brevehoi
brevehoi.cap,brevehoi.cap
brevetilde,brevetilde
brevetilde.cap,brevetilde.cap
brokenbar,brokenbar
bullet,bullet
bulletoperator,bulletoperator
C,C
c,c
c.sups,c.sups
Cacute,Cacute
cacute,cacute
caron,caron
caron.alt,caron.alt
caroncmb,caroncmb
caroncmb.cap,caroncmb.cap
Ccaron,Ccaron
ccaron,ccaron
Ccedilla,Ccedilla
ccedilla,ccedilla
Ccircumflex,Ccircumflex
ccircumflex,ccircumflex
Cdotaccent,Cdotaccent
cdotaccent,cdotaccent
cedi,cedi
cedilla,cedilla
cedillacmb,cedillacmb
cent,cent
check,check
checkbox,checkbox
checkedbox,checkedbox
circumflex,circumflex
circumflexacute,circumflexacute
circumflexacute.cap,circumflexacute.cap
circumflexcmb,circumflexcmb
circumflexcmb.cap,circumflexcmb.cap
circumflexgrave,circumflexgrave
circumflexgrave.cap,circumflexgrave.cap
circumflexhoi,circumflexhoi
circumflexhoi.cap,circumflexhoi.cap
circumflextilde,circumflextilde
circumflextilde.cap,circumflextilde.cap
colon,colon
colon.sups,colon.sups
colonmonetary,colonmonetary
colontriangularmod,colontriangularmod
comma,comma
comma.subs,comma.subs
comma.sups,comma.sups
commabelowcmb,commabelowcmb
commabelowcmb.alt,commabelowcmb.alt
copyright,copyright
currency,currency
D,D
d,d
d.sups,d.sups
dagger,dagger
daggerdbl,daggerdbl
dblprime,dblprime
Dcaron,Dcaron
dcaron,dcaron
Dcroat,Dcroat
dcroat,dcroat
Ddotbelow,Ddotbelow
ddotbelow,ddotbelow
degree,degree
Delta,Delta
diamondblack,diamondblack
dieresis,dieresis
dieresisacute,dieresisacute
dieresisacute.cap,dieresisacute.cap
dieresisbelowcmb,dieresisbelowcmb
dieresiscaron,dieresiscaron
dieresiscaron.cap,dieresiscaron.cap
dieresiscmb,dieresiscmb
dieresiscmb.cap,dieresiscmb.cap
dieresisgrave,dieresisgrave
dieresisgrave.cap,dieresisgrave.cap
dieresismacron,dieresismacron
dieresismacron.cap,dieresismacron.cap
dieresistonoscmb,dieresistonoscmb
divide,divide
divisionslash,divisionslash
Dlinebelow,Dlinebelow
dlinebelow,dlinebelow
dollar,dollar
dong,dong
dotaccent,dotaccent
dotaccentcmb,dotaccentcmb
dotaccentcmb.cap,dotaccentcmb.cap
dotbelowcmb,dotbelowcmb
dotlessi,dotlessi
dotlessj,dotlessj
E,E
e,e
